operation,round,time
train,1,400.5916814804077
train,2,400.34796619415283
train,3,401.7572124004364
train,4,403.4828312397003
train,5,403.8638598918915
train,6,400.1586821079254
train,7,401.66913771629333
train,8,395.7990036010742
train,9,402.29589104652405
train,10,403.7299060821533
train,11,400.04605078697205
train,12,399.5414729118347
train,13,403.3500347137451
train,14,404.5979368686676
train,15,401.69756031036377
train,16,404.8819754123688
train,17,403.448584318161
train,18,400.72213912010193
train,19,402.417929649353
train,20,401.6047942638397
train,21,405.75556349754333
train,22,402.3997092247009
train,23,402.9303216934204
train,24,406.0527584552765
train,25,401.2745852470398
train,26,394.1196012496948
train,27,398.6995599269867
train,28,401.11948132514954
train,29,401.6131296157837
train,30,400.4426779747009
train,31,398.5000720024109
train,32,406.6811125278473
train,33,407.5015459060669
train,34,408.3186705112457
train,35,406.77575397491455
train,36,406.65616393089294
train,37,408.34873604774475
train,38,402.9351661205292
train,39,400.985613822937
train,40,400.6799488067627
train,41,404.8291018009186
