operation,round,time
train,1,419.73518896102905
train,2,407.1443600654602
train,3,409.60834288597107
train,4,412.6190333366394
train,5,416.43726086616516
train,6,417.74861121177673
train,7,418.9186534881592
train,8,411.8871760368347
train,9,412.29927492141724
train,10,419.15130138397217
train,11,420.09387946128845
train,12,408.9137156009674
train,13,409.01915764808655
train,14,409.79159140586853
train,15,408.62807178497314
train,16,410.895183801651
train,17,414.53779435157776
train,18,419.55128145217896
train,19,412.8440864086151
train,20,412.60700130462646
train,21,416.9674868583679
train,22,406.52849078178406
train,23,410.85655546188354
train,24,413.35314869880676
train,25,419.7261700630188
train,26,412.92382287979126
train,27,412.5228953361511
train,28,413.1546709537506
train,29,412.70341420173645
train,30,410.6974880695343
train,31,410.72296476364136
train,32,409.4020929336548
train,33,414.54276990890503
train,34,411.16327571868896
train,35,410.0007014274597
train,36,410.4300844669342
train,37,415.16166615486145
train,38,407.60232973098755
train,39,410.7868514060974
train,40,419.25227761268616
train,41,412.44866847991943
