round,accuracy
1,0.19
2,0.17
3,0.14
4,0.12
5,0.14
6,0.12
7,0.16
8,0.29
9,0.09
10,0.31
11,0.27
12,0.3
13,0.24
14,0.15
15,0.22
16,0.17
17,0.2
18,0.24
19,0.25
20,0.32
21,0.15
22,0.08
23,0.12
24,0.08
25,0.35
26,0.3
27,0.16
28,0.36
29,0.13
30,0.14
31,0.17
32,0.13
33,0.13
34,0.3
35,0.23
36,0.19
37,0.23
38,0.14
39,0.18
40,0.18
41,0.23
42,0.12
43,0.15
44,0.07
45,0.11
46,0.15
47,0.2
48,0.23
49,0.18
50,0.15
51,0.26
52,0.25
53,0.17
54,0.29
55,0.1
56,0.07
57,0.07
58,0.19
59,0.13
60,0.16
61,0.26
62,0.19
63,0.14
64,0.2
65,0.05
66,0.24
67,0.09
68,0.09
69,0.09
70,0.16
71,0.11
72,0.23
73,0.23
74,0.18
75,0.14
76,0.34
77,0.19
78,0.17
79,0.16
80,0.13
81,0.12
82,0.22
83,0.2
84,0.2
85,0.11
86,0.11
87,0.12
88,0.09
89,0.13
90,0.12
91,0.21
92,0.11
93,0.13
94,0.09
95,0.13
96,0.13
97,0.09
98,0.14
99,0.13
100,0.14
