round,accuracy
1,0.271
2,0.333
3,0.362
4,0.36
5,0.376
6,0.377
7,0.414
8,0.42
9,0.437
10,0.429
11,0.42
12,0.418
13,0.425
14,0.44
15,0.446
16,0.45
17,0.464
18,0.444
19,0.468
20,0.479
21,0.467
22,0.432
23,0.44
24,0.471
25,0.443
26,0.442
27,0.438
28,0.46
29,0.467
30,0.47
31,0.459
32,0.471
33,0.442
34,0.449
35,0.458
36,0.472
37,0.447
38,0.466
39,0.45
40,0.47
41,0.446
42,0.492
43,0.464
44,0.44
45,0.477
46,0.462
47,0.477
48,0.442
49,0.45
50,0.466
51,0.453
52,0.477
53,0.473
54,0.473
55,0.45
56,0.462
57,0.486
58,0.454
59,0.445
60,0.471
61,0.472
62,0.462
63,0.488
64,0.475
65,0.483
66,0.467
67,0.479
68,0.449
69,0.452
70,0.471
71,0.491
72,0.459
73,0.478
74,0.478
75,0.458
76,0.481
77,0.476
78,0.475
79,0.489
80,0.486
81,0.474
82,0.469
83,0.462
84,0.471
85,0.446
86,0.467
87,0.469
88,0.468
89,0.463
90,0.464
91,0.501
92,0.492
93,0.487
94,0.487
95,0.497
96,0.481
97,0.497
98,0.513
99,0.492
100,0.498
