operation,round,time
train,1,16.720825910568237
train,2,5.43189001083374
train,3,5.848873138427734
train,4,5.482879161834717
train,5,5.82148551940918
encrypt,1,149.94861912727356
encrypt,2,150.07470726966858
encrypt,3,150.40092992782593
encrypt,4,150.54784035682678
encrypt,5,150.81875491142273
decrypt,1,10.088770627975464
decrypt,2,10.200797080993652
decrypt,3,10.47842025756836
decrypt,4,10.47839879989624
decrypt,5,11.757972717285156
evaluate,1,0.2910952568054199
evaluate,2,0.2910349369049072
evaluate,3,0.2818920612335205
evaluate,4,0.29757189750671387
evaluate,5,0.29656076431274414
