operation,round,time
aggregation,0,7.152557373046875e-07
aggregation,1,9.5367431640625e-07
aggregation,2,9.5367431640625e-07
aggregation,3,7.152557373046875e-07
aggregation,4,4.76837158203125e-07
aggregation,5,9.5367431640625e-07
aggregation,6,4.76837158203125e-07
aggregation,7,9.5367431640625e-07
aggregation,8,7.152557373046875e-07
aggregation,9,9.5367431640625e-07
aggregation,10,7.152557373046875e-07
aggregation,11,9.5367431640625e-07
aggregation,12,4.76837158203125e-07
aggregation,13,7.152557373046875e-07
aggregation,14,4.76837158203125e-07
aggregation,15,7.152557373046875e-07
aggregation,16,4.76837158203125e-07
aggregation,17,7.152557373046875e-07
aggregation,18,4.76837158203125e-07
aggregation,19,9.5367431640625e-07
aggregation,20,7.152557373046875e-07
aggregation,21,7.152557373046875e-07
aggregation,22,7.152557373046875e-07
aggregation,23,9.5367431640625e-07
aggregation,24,7.152557373046875e-07
aggregation,25,7.152557373046875e-07
aggregation,26,9.5367431640625e-07
aggregation,27,7.152557373046875e-07
aggregation,28,7.152557373046875e-07
aggregation,29,4.76837158203125e-07
aggregation,30,7.152557373046875e-07
aggregation,31,4.76837158203125e-07
aggregation,32,7.152557373046875e-07
aggregation,33,7.152557373046875e-07
aggregation,34,7.152557373046875e-07
aggregation,35,7.152557373046875e-07
aggregation,36,9.5367431640625e-07
aggregation,37,7.152557373046875e-07
aggregation,38,7.152557373046875e-07
aggregation,39,7.152557373046875e-07
aggregation,40,7.152557373046875e-07
aggregation,41,7.152557373046875e-07
aggregation,42,7.152557373046875e-07
aggregation,43,7.152557373046875e-07
aggregation,44,4.76837158203125e-07
aggregation,45,7.152557373046875e-07
aggregation,46,7.152557373046875e-07
aggregation,47,9.5367431640625e-07
aggregation,48,7.152557373046875e-07
aggregation,49,4.76837158203125e-07
aggregation,50,9.5367431640625e-07
aggregation,51,9.5367431640625e-07
aggregation,52,7.152557373046875e-07
aggregation,53,4.76837158203125e-07
aggregation,54,7.152557373046875e-07
aggregation,55,4.76837158203125e-07
aggregation,56,7.152557373046875e-07
aggregation,57,4.76837158203125e-07
aggregation,58,9.5367431640625e-07
aggregation,59,7.152557373046875e-07
aggregation,60,4.76837158203125e-07
aggregation,61,7.152557373046875e-07
aggregation,62,7.152557373046875e-07
aggregation,63,7.152557373046875e-07
aggregation,64,7.152557373046875e-07
aggregation,65,4.76837158203125e-07
aggregation,66,7.152557373046875e-07
aggregation,67,7.152557373046875e-07
aggregation,68,4.76837158203125e-07
aggregation,69,7.152557373046875e-07
aggregation,70,7.152557373046875e-07
aggregation,71,4.76837158203125e-07
aggregation,72,7.152557373046875e-07
aggregation,73,7.152557373046875e-07
aggregation,74,4.76837158203125e-07
aggregation,75,7.152557373046875e-07
aggregation,76,7.152557373046875e-07
aggregation,77,4.76837158203125e-07
aggregation,78,4.76837158203125e-07
aggregation,79,4.76837158203125e-07
aggregation,80,7.152557373046875e-07
aggregation,81,9.5367431640625e-07
aggregation,82,7.152557373046875e-07
aggregation,83,4.76837158203125e-07
aggregation,84,7.152557373046875e-07
aggregation,85,7.152557373046875e-07
aggregation,86,7.152557373046875e-07
aggregation,87,4.76837158203125e-07
aggregation,88,7.152557373046875e-07
aggregation,89,4.76837158203125e-07
aggregation,90,7.152557373046875e-07
aggregation,91,4.76837158203125e-07
aggregation,92,9.5367431640625e-07
aggregation,93,7.152557373046875e-07
aggregation,94,4.76837158203125e-07
aggregation,95,4.76837158203125e-07
aggregation,96,7.152557373046875e-07
aggregation,97,7.152557373046875e-07
aggregation,98,7.152557373046875e-07
aggregation,99,9.5367431640625e-07
quantization,0,3.6797704696655273
quantization,1,3.671875476837158
quantization,2,3.667071580886841
quantization,3,3.6346523761749268
quantization,4,3.6364755630493164
quantization,5,3.6601150035858154
quantization,6,3.604299783706665
quantization,7,3.61759090423584
quantization,8,3.6353368759155273
quantization,9,3.6403167247772217
quantization,10,3.6498827934265137
quantization,11,3.6393606662750244
quantization,12,3.644153118133545
quantization,13,3.632547616958618
quantization,14,3.5918078422546387
quantization,15,3.6256682872772217
quantization,16,3.6107828617095947
quantization,17,3.639566421508789
quantization,18,3.655545473098755
quantization,19,3.6369009017944336
quantization,20,3.6294264793395996
quantization,21,3.646749973297119
quantization,22,3.6601626873016357
quantization,23,3.6207211017608643
quantization,24,3.61474609375
quantization,25,3.6391289234161377
quantization,26,3.6436567306518555
quantization,27,3.6535212993621826
quantization,28,3.6289310455322266
quantization,29,3.6322989463806152
quantization,30,3.6414248943328857
quantization,31,3.6340785026550293
quantization,32,3.6466212272644043
quantization,33,3.6478776931762695
quantization,34,3.6518466472625732
quantization,35,3.6170337200164795
quantization,36,3.6502327919006348
quantization,37,3.6311912536621094
quantization,38,3.644599676132202
quantization,39,3.6606130599975586
quantization,40,3.618690013885498
quantization,41,3.6506340503692627
quantization,42,3.639724016189575
quantization,43,3.6385416984558105
quantization,44,3.6555020809173584
quantization,45,3.6200242042541504
quantization,46,3.630256414413452
quantization,47,3.665560245513916
quantization,48,3.6443300247192383
quantization,49,3.652385950088501
quantization,50,3.6548891067504883
quantization,51,3.664612293243408
quantization,52,3.6542837619781494
quantization,53,3.636409044265747
quantization,54,3.6422903537750244
quantization,55,3.647284507751465
quantization,56,3.634761095046997
quantization,57,3.634197235107422
quantization,58,3.65008544921875
quantization,59,3.6366164684295654
quantization,60,3.6107380390167236
quantization,61,3.596573829650879
quantization,62,3.609374523162842
quantization,63,3.6175763607025146
quantization,64,3.663853168487549
quantization,65,3.6349146366119385
quantization,66,3.633526563644409
quantization,67,3.6289148330688477
quantization,68,3.6189284324645996
quantization,69,3.636662006378174
quantization,70,3.624232530593872
quantization,71,3.6087427139282227
